id,day,year,month,date,weekday,week
17167,1,2017,1,1,7,52
17168,2,2017,1,2,1,1
17169,3,2017,1,3,2,1
17170,4,2017,1,4,3,1
17171,5,2017,1,5,4,1
17172,6,2017,1,6,5,1
17173,7,2017,1,7,6,1
17174,8,2017,1,8,7,1
17175,9,2017,1,9,1,2
17176,10,2017,1,10,2,2
17177,11,2017,1,11,3,2
17178,12,2017,1,12,4,2
17179,13,2017,1,13,5,2
17180,14,2017,1,14,6,2
17181,15,2017,1,15,7,2
17182,16,2017,1,16,1,3
17183,17,2017,1,17,2,3
17184,18,2017,1,18,3,3
17185,19,2017,1,19,4,3
17186,20,2017,1,20,5,3
17187,21,2017,1,21,6,3
17188,22,2017,1,22,7,3
17189,23,2017,1,23,1,4
17190,24,2017,1,24,2,4
17191,25,2017,1,25,3,4
17192,26,2017,1,26,4,4
17193,27,2017,1,27,5,4
17194,28,2017,1,28,6,4
17195,29,2017,1,29,7,4
17196,30,2017,1,30,1,5
17197,31,2017,1,31,2,5
17198,32,2017,2,1,3,5
17199,33,2017,2,2,4,5
17200,34,2017,2,3,5,5
17201,35,2017,2,4,6,5
17202,36,2017,2,5,7,5
17203,37,2017,2,6,1,6
17204,38,2017,2,7,2,6
17205,39,2017,2,8,3,6
17206,40,2017,2,9,4,6
17207,41,2017,2,10,5,6
17208,42,2017,2,11,6,6
17209,43,2017,2,12,7,6
17210,44,2017,2,13,1,7
17211,45,2017,2,14,2,7
17212,46,2017,2,15,3,7
17213,47,2017,2,16,4,7
17214,48,2017,2,17,5,7
17215,49,2017,2,18,6,7
17216,50,2017,2,19,7,7
17217,51,2017,2,20,1,8
17218,52,2017,2,21,2,8
17219,53,2017,2,22,3,8
17220,54,2017,2,23,4,8
17221,55,2017,2,24,5,8
17222,56,2017,2,25,6,8
17223,57,2017,2,26,7,8
17224,58,2017,2,27,1,9
17225,59,2017,2,28,2,9
17226,60,2017,3,1,3,9
17227,61,2017,3,2,4,9
17228,62,2017,3,3,5,9
17229,63,2017,3,4,6,9
17230,64,2017,3,5,7,9
17231,65,2017,3,6,1,10
17232,66,2017,3,7,2,10
17233,67,2017,3,8,3,10
17234,68,2017,3,9,4,10
17235,69,2017,3,10,5,10
17236,70,2017,3,11,6,10
17237,71,2017,3,12,7,10
17238,72,2017,3,13,1,11
17239,73,2017,3,14,2,11
17240,74,2017,3,15,3,11
17241,75,2017,3,16,4,11
17242,76,2017,3,17,5,11
17243,77,2017,3,18,6,11
17244,78,2017,3,19,7,11
17245,79,2017,3,20,1,12
17246,80,2017,3,21,2,12
17247,81,2017,3,22,3,12
17248,82,2017,3,23,4,12
17249,83,2017,3,24,5,12
17250,84,2017,3,25,6,12
17251,85,2017,3,26,7,12
17252,86,2017,3,27,1,13
17253,87,2017,3,28,2,13
17254,88,2017,3,29,3,13
17255,89,2017,3,30,4,13
17256,90,2017,3,31,5,13
17257,91,2017,4,1,6,13
17258,92,2017,4,2,7,13
17259,93,2017,4,3,1,14
17260,94,2017,4,4,2,14
17261,95,2017,4,5,3,14
17262,96,2017,4,6,4,14
17263,97,2017,4,7,5,14
17264,98,2017,4,8,6,14
17265,99,2017,4,9,7,14
17266,100,2017,4,10,1,15
17267,101,2017,4,11,2,15
17268,102,2017,4,12,3,15
17269,103,2017,4,13,4,15
17270,104,2017,4,14,5,15
17271,105,2017,4,15,6,15
17272,106,2017,4,16,7,15
17273,107,2017,4,17,1,16
17274,108,2017,4,18,2,16
17275,109,2017,4,19,3,16
17276,110,2017,4,20,4,16
17277,111,2017,4,21,5,16
17278,112,2017,4,22,6,16
17279,113,2017,4,23,7,16
17280,114,2017,4,24,1,17
17281,115,2017,4,25,2,17
17282,116,2017,4,26,3,17
17283,117,2017,4,27,4,17
17284,118,2017,4,28,5,17
17285,119,2017,4,29,6,17
17286,120,2017,4,30,7,17
17287,121,2017,5,1,1,18
17288,122,2017,5,2,2,18
17289,123,2017,5,3,3,18
17290,124,2017,5,4,4,18
17291,125,2017,5,5,5,18
17292,126,2017,5,6,6,18
17293,127,2017,5,7,7,18
17294,128,2017,5,8,1,19
17295,129,2017,5,9,2,19
17296,130,2017,5,10,3,19
17297,131,2017,5,11,4,19
17298,132,2017,5,12,5,19
17299,133,2017,5,13,6,19
17300,134,2017,5,14,7,19
17301,135,2017,5,15,1,20
17302,136,2017,5,16,2,20
17303,137,2017,5,17,3,20
17304,138,2017,5,18,4,20
17305,139,2017,5,19,5,20
17306,140,2017,5,20,6,20
17307,141,2017,5,21,7,20
17308,142,2017,5,22,1,21
17309,143,2017,5,23,2,21
17310,144,2017,5,24,3,21
17311,145,2017,5,25,4,21
17312,146,2017,5,26,5,21
17313,147,2017,5,27,6,21
17314,148,2017,5,28,7,21
17315,149,2017,5,29,1,22
17316,150,2017,5,30,2,22
17317,151,2017,5,31,3,22
17318,152,2017,6,1,4,22
17319,153,2017,6,2,5,22
17320,154,2017,6,3,6,22
17321,155,2017,6,4,7,22
17322,156,2017,6,5,1,23
17323,157,2017,6,6,2,23
17324,158,2017,6,7,3,23
17325,159,2017,6,8,4,23
17326,160,2017,6,9,5,23
17327,161,2017,6,10,6,23
17328,162,2017,6,11,7,23
17329,163,2017,6,12,1,24
17330,164,2017,6,13,2,24
17331,165,2017,6,14,3,24
17332,166,2017,6,15,4,24
17333,167,2017,6,16,5,24
17334,168,2017,6,17,6,24
17335,169,2017,6,18,7,24
17336,170,2017,6,19,1,25
17337,171,2017,6,20,2,25
17338,172,2017,6,21,3,25
17339,173,2017,6,22,4,25
17340,174,2017,6,23,5,25
17341,175,2017,6,24,6,25
17342,176,2017,6,25,7,25
17343,177,2017,6,26,1,26
17344,178,2017,6,27,2,26
17345,179,2017,6,28,3,26
17346,180,2017,6,29,4,26
17347,181,2017,6,30,5,26
17348,182,2017,7,1,6,26
17349,183,2017,7,2,7,26
17350,184,2017,7,3,1,27
17351,185,2017,7,4,2,27
17352,186,2017,7,5,3,27
17353,187,2017,7,6,4,27
17354,188,2017,7,7,5,27
17355,189,2017,7,8,6,27
17356,190,2017,7,9,7,27
17357,191,2017,7,10,1,28
17358,192,2017,7,11,2,28
17359,193,2017,7,12,3,28
17360,194,2017,7,13,4,28
17361,195,2017,7,14,5,28
17362,196,2017,7,15,6,28
17363,197,2017,7,16,7,28
17364,198,2017,7,17,1,29
17365,199,2017,7,18,2,29
17366,200,2017,7,19,3,29
17367,201,2017,7,20,4,29
17368,202,2017,7,21,5,29
17369,203,2017,7,22,6,29
17370,204,2017,7,23,7,29
17371,205,2017,7,24,1,30
17372,206,2017,7,25,2,30
17373,207,2017,7,26,3,30
17374,208,2017,7,27,4,30
17375,209,2017,7,28,5,30
17376,210,2017,7,29,6,30
17377,211,2017,7,30,7,30
17378,212,2017,7,31,1,31
17379,213,2017,8,1,2,31
17380,214,2017,8,2,3,31
17381,215,2017,8,3,4,31
17382,216,2017,8,4,5,31
17383,217,2017,8,5,6,31
17384,218,2017,8,6,7,31
17385,219,2017,8,7,1,32
17386,220,2017,8,8,2,32
17387,221,2017,8,9,3,32
17388,222,2017,8,10,4,32
17389,223,2017,8,11,5,32
17390,224,2017,8,12,6,32
17391,225,2017,8,13,7,32
17392,226,2017,8,14,1,33
17393,227,2017,8,15,2,33
17394,228,2017,8,16,3,33
17395,229,2017,8,17,4,33
17396,230,2017,8,18,5,33
17397,231,2017,8,19,6,33
17398,232,2017,8,20,7,33
17399,233,2017,8,21,1,34
17400,234,2017,8,22,2,34
17401,235,2017,8,23,3,34
17402,236,2017,8,24,4,34
17403,237,2017,8,25,5,34
17404,238,2017,8,26,6,34
17405,239,2017,8,27,7,34
17406,240,2017,8,28,1,35
17407,241,2017,8,29,2,35
17408,242,2017,8,30,3,35
17409,243,2017,8,31,4,35
17410,244,2017,9,1,5,35
17411,245,2017,9,2,6,35
17412,246,2017,9,3,7,35
17413,247,2017,9,4,1,36
17414,248,2017,9,5,2,36
17415,249,2017,9,6,3,36
17416,250,2017,9,7,4,36
17417,251,2017,9,8,5,36
17418,252,2017,9,9,6,36
17419,253,2017,9,10,7,36
17420,254,2017,9,11,1,37
17421,255,2017,9,12,2,37
17422,256,2017,9,13,3,37
17423,257,2017,9,14,4,37
17424,258,2017,9,15,5,37
17425,259,2017,9,16,6,37
17426,260,2017,9,17,7,37
17427,261,2017,9,18,1,38
17428,262,2017,9,19,2,38
17429,263,2017,9,20,3,38
17430,264,2017,9,21,4,38
17431,265,2017,9,22,5,38
17432,266,2017,9,23,6,38
17433,267,2017,9,24,7,38
17434,268,2017,9,25,1,39
17435,269,2017,9,26,2,39
17436,270,2017,9,27,3,39
17437,271,2017,9,28,4,39
17438,272,2017,9,29,5,39
17439,273,2017,9,30,6,39
17440,274,2017,10,1,7,39
17441,275,2017,10,2,1,40
17442,276,2017,10,3,2,40
17443,277,2017,10,4,3,40
17444,278,2017,10,5,4,40
17445,279,2017,10,6,5,40
17446,280,2017,10,7,6,40
17447,281,2017,10,8,7,40
17448,282,2017,10,9,1,41
17449,283,2017,10,10,2,41
17450,284,2017,10,11,3,41
17451,285,2017,10,12,4,41
17452,286,2017,10,13,5,41
17453,287,2017,10,14,6,41
17454,288,2017,10,15,7,41
17455,289,2017,10,16,1,42
17456,290,2017,10,17,2,42
17457,291,2017,10,18,3,42
17458,292,2017,10,19,4,42
17459,293,2017,10,20,5,42
17460,294,2017,10,21,6,42
17461,295,2017,10,22,7,42
17462,296,2017,10,23,1,43
17463,297,2017,10,24,2,43
17464,298,2017,10,25,3,43
17465,299,2017,10,26,4,43
17466,300,2017,10,27,5,43
17467,301,2017,10,28,6,43
17468,302,2017,10,29,7,43
17469,303,2017,10,30,1,44
17470,304,2017,10,31,2,44
17471,305,2017,11,1,3,44
17472,306,2017,11,2,4,44
17473,307,2017,11,3,5,44
17474,308,2017,11,4,6,44
17475,309,2017,11,5,7,44
17476,310,2017,11,6,1,45
17477,311,2017,11,7,2,45
17478,312,2017,11,8,3,45
17479,313,2017,11,9,4,45
17480,314,2017,11,10,5,45
17481,315,2017,11,11,6,45
17482,316,2017,11,12,7,45
17483,317,2017,11,13,1,46
17484,318,2017,11,14,2,46
17485,319,2017,11,15,3,46
17486,320,2017,11,16,4,46
17487,321,2017,11,17,5,46
17488,322,2017,11,18,6,46
17489,323,2017,11,19,7,46
17490,324,2017,11,20,1,47
17491,325,2017,11,21,2,47
17492,326,2017,11,22,3,47
17493,327,2017,11,23,4,47
17494,328,2017,11,24,5,47
17495,329,2017,11,25,6,47
17496,330,2017,11,26,7,47
17497,331,2017,11,27,1,48
17498,332,2017,11,28,2,48
17499,333,2017,11,29,3,48
17500,334,2017,11,30,4,48
17501,335,2017,12,1,5,48
17502,336,2017,12,2,6,48
17503,337,2017,12,3,7,48
17504,338,2017,12,4,1,49
17505,339,2017,12,5,2,49
17506,340,2017,12,6,3,49
17507,341,2017,12,7,4,49
17508,342,2017,12,8,5,49
17509,343,2017,12,9,6,49
17510,344,2017,12,10,7,49
17511,345,2017,12,11,1,50
17512,346,2017,12,12,2,50
17513,347,2017,12,13,3,50
17514,348,2017,12,14,4,50
17515,349,2017,12,15,5,50
17516,350,2017,12,16,6,50
17517,351,2017,12,17,7,50
17518,352,2017,12,18,1,51
17519,353,2017,12,19,2,51
17520,354,2017,12,20,3,51
17521,355,2017,12,21,4,51
17522,356,2017,12,22,5,51
17523,357,2017,12,23,6,51
17524,358,2017,12,24,7,51
17525,359,2017,12,25,1,52
17526,360,2017,12,26,2,52
17527,361,2017,12,27,3,52
17528,362,2017,12,28,4,52
17529,363,2017,12,29,5,52
17530,364,2017,12,30,6,52
17531,365,2017,12,31,7,52
